0,Fonte750W,1050.67,3,NZXT
1,TecladoBluetooth,1306.71,45,Asus
2,ProcessadorRyzen7,1715.03,23,Crucial
3,HubUSB3.0,2671.94,33,Razer
4,HubUSB3.0,4943.86,13,Xbox
5,MouseGamer,2495.3,16,Anker
6,SSDNVMe2TB,1029.62,13,SteelSeries
7,Placa-MaeB550,4913.66,21,Asus
8,CadeiraErgonomica,4518.27,44,Fifine
9,CarregadorUSB-C,4066.44,8,ASUS
10,TecladoBluetooth,3255.77,22,Asus
11,MemoriaRAM16GB,1570.15,24,Sony
12,Fonte750W,4292.27,25,AOC
13,CoolerparaCPU,3700.03,2,Asus
14,SSD1TB,3644.66,23,Anker
15,HubUSB3.0,782.21,18,ThunderX3
16,ControlePS5,4831.04,37,Fifine
17,PlacadeVideo,1211.81,14,Anker
18,MouseGamer,942.85,9,Behringer
19,RoteadorWi-Fi6,3226.6,3,HyperX
20,Smartwatch,751.31,47,Crucial
21,SSDNVMe2TB,675.84,29,Elgato
22,TecladoMecanico,127.54,49,AMD
23,CadeiraErgonomica,4345.3,24,Microsoft
24,HDExterno4TB,947.7,16,AMD
25,CadeiraEscritorio,2098.07,32,Crucial
26,Monitor144Hz,4545.99,43,HyperX
27,CadeiraGamer,1499.5,38,Crucial
28,MouseErgonomico,470.54,22,Microsoft
29,Placa-MaeB550,3372.54,13,TP-Link
30,TecladoBluetooth,2960.7,11,Dell
31,Fonte750W,2744.28,49,Dell
32,VolanteparaPC,817.54,27,Logitech
33,CaboHDMI2m,3061.27,5,NVIDIA
34,Smartwatch,2359.92,44,HyperX
35,Processadori7,4417.45,5,Elgato
36,CoolerparaCPU,3710.44,48,Logitech
37,NotebookUltrafino,631.38,27,Behringer
38,CadeiraEscritorio,2392.75,42,Dell
39,CadeiraEscritorio,2047.9,16,NVIDIA
40,Fonte750W,927.72,20,Anker
41,HubUSB3.0,3652.09,41,Sony
42,FonedeOuvidoBluetooth,2564.56,22,Xbox
43,CadeiraGamer,1093.86,20,Kingston
44,Monitor144Hz,2649.8,37,Behringer
45,TecladoMecanico,1529.77,41,Microsoft
46,Monitor144Hz,929.08,33,Flexform
47,WebcamFullHD,2871.82,16,Fischer
48,PlacadeCaptura,4383.65,34,SteelSeries
49,Fonte750W,3330.48,50,Anker
50,VolanteparaPC,826.56,22,Xiaomi
51,MonitorUltrawide,681.6,50,HyperX
52,MouseErgonomico,4811.82,48,JBL
53,Processadori7,2438.91,13,ThunderX3
54,Fonte750W,720.96,43,AMD
55,RoteadorWi-Fi6,2638.22,41,Intel
56,SSDNVMe2TB,605.83,35,SteelSeries
57,Processadori7,416.24,13,Corsair
58,CaboHDMI2m,496.19,30,LG
59,SSDNVMe2TB,4336.01,9,LG
60,MouseGamer,2243.06,15,DXRacer
61,CadeiraEscritorio,4444.59,18,Fifine
62,MouseErgonomico,1772.48,46,Elgato
63,SSD1TB,3458.34,36,Logitech
64,CadeiraGamer,1936.89,9,AOC
65,SSD1TB,2249.73,42,Crucial
66,HubUSB3.0,3998.53,30,DXRacer
67,CadeiraEscritorio,1619.94,48,JBL
68,ControlePS5,2938.98,48,Razer
69,CadeiraGamer,3285.22,15,ThunderX3
70,PlacadeVideo,3633.01,18,JBL
71,CarregadorUSB-C,4960.33,11,ThunderX3
72,MonitorUltrawide,899.27,23,Flexform
73,Fonte750W,4583.97,48,Kingston
74,CarregadorUSB-C,1930.48,46,LG
75,Monitor144Hz,627.57,46,Logitech
76,HeadsetWireless,2640.63,23,Elgato
77,SSD1TB,4355.02,48,Razer
78,VolanteparaPC,1725.34,10,Asus
79,HeadsetWireless,2208.61,4,Xiaomi
80,NotebookGamer,4429.94,1,ThunderX3
81,RoteadorWi-Fi6,3481.2,47,EVGA
82,NotebookGamer,1475.77,11,EVGA
83,ProcessadorRyzen7,3111.69,16,ThunderX3
84,PlacadeVideo,4315.05,10,AMD
85,MemoriaRAM16GB,1513.85,47,LG
86,HeadsetWireless,3665.05,21,Xbox
87,MouseErgonomico,180.68,43,Behringer
88,NotebookGamer,2555.47,6,AMD
89,CadeiraGamer,3716.54,36,ThunderX3
90,MonitorFullHD,3892.78,26,DXRacer
91,CadeiraEscritorio,3962.95,34,TP-Link
92,BateriaExterna20000mAh,88.79,5,Fischer
93,CaboDisplayPort,64.37,4,Lenovo
94,MouseErgonomico,221.66,2,DXRacer
95,MonitorUltrawide,4931.41,6,Crucial
96,MemoriaRAM16GB,4949.66,6,ASUS
97,MousepadGamer,4515.36,50,Xiaomi
